순위,곡명,가수명
1,퀸카 (Queencard),(여자)아이들
2,I AM,IVE (아이브)
3,Spicy,aespa
4,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
5,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
6,Kitsch,IVE (아이브)
7,사랑은 늘 도망가,임영웅
8,모래 알갱이,임영웅
9,우리들의 블루스,임영웅
10,헤어지자 말해요,박재정
11,다시 만날 수 있을까,임영웅
12,Hype boy,NewJeans
13,무지개,임영웅
14,꽃,지수 (JISOO)
15,London Boy,임영웅
16,손오공,세븐틴 (SEVENTEEN)
17,이제 나만 믿어요,임영웅
18,Polaroid,임영웅
19,아버지,임영웅
20,Ditto,NewJeans
21,인생찬가,임영웅
22,A bientot,임영웅
23,Cupid,FIFTY FIFTY
24,손이 참 곱던 그대,임영웅
25,사랑해 진짜,임영웅
26,연애편지,임영웅
27,OMG,NewJeans
28,Allergy,(여자)아이들
29,사건의 지평선,윤하 (YOUNHA)
30,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
31,보금자리,임영웅
32,I Don't Think That I Like Her,Charlie Puth
33,Dangerously,Charlie Puth
34,Candy,NCT DREAM
35,After LIKE,IVE (아이브)
36,물론,허각
37,Dynamite,방탄소년단
38,Attention,NewJeans
39,Teddy Bear,STAYC(스테이씨)
40,LOVE DIVE,IVE (아이브)
41,심(心),DK(디셈버)
42,Take Two,방탄소년단
43,사랑..그게 뭔데,지아
44,사랑하지 않아서 그랬어,임한별
45,Butter,방탄소년단
46,Broken Melodies,NCT DREAM
47,사람 Pt.2 (feat. 아이유),Agust D
48,Like Crazy,지민
49,HARD,SHINee (샤이니)
50,잠깐 시간 될까,이무진
51,ANTIFRAGILE,LE SSERAFIM (르세라핌)
52,봄날,방탄소년단
53,나에게 그대만이,탑현
54,Heaven(2023),임재현
55,사랑인가 봐,멜로망스
56,Permission to Dance,방탄소년단
57,The Planet,방탄소년단
58,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
59,찬란한 하루,멜로망스
60,너의 모든 순간,성시경
61,빛이 나는 너에게,던 (DAWN)
62,NIGHT DANCER,imase
63,"Angel Pt. 1 (Feat. Kodak Black, NLE Choppa, JVKE, Muni Long)",Fast & Furious: The Fast Saga
64,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
65,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
66,Thirsty,aespa
67,첫 키스에 내 심장은 120BPM,경서
68,사랑의 바보,제이세라
69,KNOCK,이채연
70,That's Hilarious,Charlie Puth
71,STAY,The Kid LAROI
72,TOMBOY,(여자)아이들
73,그중에 그대를 만나,김호중
74,부동의 첫사랑,10CM
75,on the street (with J. Cole),j-hope
76,Nxde,(여자)아이들
77,한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드)),이홍기 (FT아일랜드)
78,사랑하지 않아서 그랬니,지아
79,안녕이라고 말하지마,V.O.S
80,취중고백,김민석 (멜로망스)
81,해요 (2022),#안녕
82,나의 바람 (Wind And Wish),비투비
83,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
84,Monologue,테이
85,CHRISTIAN,Zior Park
86,다정히 내 이름을 부르면,경서예지
87,사랑하기 싫어,지아
88,FRIEND THE END,볼빨간사춘기
89,한강에서 (Feat. BIG Naughty),폴킴
90,LOCKDOWN,이세계아이돌
91,Love Me Like This,NMIXX
92,그라데이션,10CM
93,ELEVEN,IVE (아이브)
94,FEARLESS,LE SSERAFIM (르세라핌)
95,내가 아니라도,주호
96,Shut Down,BLACKPINK
97,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
98,당신을 만나,김호중
99,Say I Love You,우디 (Woody)
100,Pink Venom,BLACKPINK
